date,channel,revenue_usd
2024-01-01,Direct,689.01
2024-01-01,Email,388.33
2024-01-01,Organic Search,864.32
2024-01-01,Paid Search,1095.21
2024-01-01,Referral,389.04
2024-01-01,Social,239.73
2024-01-02,Direct,569.11
2024-01-02,Email,331.25
2024-01-02,Organic Search,795.13
2024-01-02,Paid Search,1129.68
2024-01-02,Referral,346.44
2024-01-02,Social,244.56
2024-01-03,Direct,603.35
2024-01-03,Email,243.27
2024-01-03,Organic Search,814.09
2024-01-03,Paid Search,896.49
2024-01-03,Referral,415.76
2024-01-03,Social,217.6
2024-01-04,Direct,625.88
2024-01-04,Email,261.36
2024-01-04,Organic Search,827.35
2024-01-04,Paid Search,1069.76
2024-01-04,Referral,363.79
2024-01-04,Social,234.12
2024-01-05,Direct,642.04
2024-01-05,Email,395.59
2024-01-05,Organic Search,845.11
2024-01-05,Paid Search,1054.19
2024-01-05,Referral,403.91
2024-01-05,Social,168.35
2024-01-06,Direct,560.76
2024-01-06,Email,238.71
2024-01-06,Organic Search,626.2
2024-01-06,Paid Search,878.56
2024-01-06,Referral,247.85
2024-01-06,Social,238.59
2024-01-07,Direct,456.11
2024-01-07,Email,230.18
2024-01-07,Organic Search,696.05
2024-01-07,Paid Search,822.62
2024-01-07,Referral,322.87
2024-01-07,Social,198.27
2024-01-08,Direct,583.34
2024-01-08,Email,161.15
2024-01-08,Organic Search,816.27
2024-01-08,Paid Search,1085.02
2024-01-08,Referral,271.6
2024-01-08,Social,192.19
2024-01-09,Direct,554.57
2024-01-09,Email,322.37
2024-01-09,Organic Search,712.2
2024-01-09,Paid Search,1073.52
2024-01-09,Referral,362.7
2024-01-09,Social,233.5
2024-01-10,Direct,582.51
2024-01-10,Email,362.92
2024-01-10,Organic Search,680.98
2024-01-10,Paid Search,1112.73
2024-01-10,Referral,309.46
2024-01-10,Social,221.07
2024-01-11,Direct,653.57
2024-01-11,Email,341.38
2024-01-11,Organic Search,889.92
2024-01-11,Paid Search,1021.28
2024-01-11,Referral,381.1
2024-01-11,Social,255.51
2024-01-12,Direct,546.46
2024-01-12,Email,261.28
2024-01-12,Organic Search,642.35
2024-01-12,Paid Search,1134.7
2024-01-12,Referral,336.27
2024-01-12,Social,224.64
2024-01-13,Direct,459.7
2024-01-13,Email,274.35
2024-01-13,Organic Search,650.22
2024-01-13,Paid Search,776.37
2024-01-13,Referral,251.58
2024-01-13,Social,190.38
2024-01-14,Direct,533.62
2024-01-14,Email,269.19
2024-01-14,Organic Search,572.19
2024-01-14,Paid Search,835.79
2024-01-14,Referral,282.49
2024-01-14,Social,206.56
2024-01-15,Direct,571.34
2024-01-15,Email,283.74
2024-01-15,Organic Search,924.56
2024-01-15,Paid Search,1058.75
2024-01-15,Referral,434.93
2024-01-15,Social,269.69
2024-01-16,Direct,520.86
2024-01-16,Email,295.85
2024-01-16,Organic Search,840.49
2024-01-16,Paid Search,1197.23
2024-01-16,Referral,420.44
2024-01-16,Social,254.24
2024-01-17,Direct,585.74
2024-01-17,Email,267.56
2024-01-17,Organic Search,822.1
2024-01-17,Paid Search,977.59
2024-01-17,Referral,323.56
2024-01-17,Social,241.5
2024-01-18,Direct,683.09
2024-01-18,Email,286.35
2024-01-18,Organic Search,738.82
2024-01-18,Paid Search,1066.77
2024-01-18,Referral,374.25
2024-01-18,Social,254.81
2024-01-19,Direct,603.54
2024-01-19,Email,272.5
2024-01-19,Organic Search,697.1
2024-01-19,Paid Search,1004.78
2024-01-19,Referral,342.59
2024-01-19,Social,243.12
2024-01-20,Direct,475.73
2024-01-20,Email,190.04
2024-01-20,Organic Search,661.5
2024-01-20,Paid Search,736.89
2024-01-20,Referral,221.2
2024-01-20,Social,180.59
2024-01-21,Direct,541.15
2024-01-21,Email,259.18
2024-01-21,Organic Search,648.54
2024-01-21,Paid Search,833.75
2024-01-21,Referral,245.93
2024-01-21,Social,226.67
2024-01-22,Direct,633.14
2024-01-22,Email,276.62
2024-01-22,Organic Search,714.82
2024-01-22,Paid Search,912.15
2024-01-22,Referral,428.36
2024-01-22,Social,257.07
2024-01-23,Direct,541.24
2024-01-23,Email,352.62
2024-01-23,Organic Search,711.3
2024-01-23,Paid Search,950.58
2024-01-23,Referral,415.79
2024-01-23,Social,258.59
